State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2021-11-30_23:00:00,2021-12-01_00:00:00,F32,11,29800,30695,665,57,19,13,164,20,1,621
Running,2021-12-01_00:00:00,2021-12-01_01:00:00,F32,11,29622,30619,741,60,25,14,202,19,4,673
Running,2021-12-01_01:00:00,2021-12-01_02:00:00,F32,11,28970,30305,1015,51,23,17,179,27,4,1034
Running,2021-12-01_02:00:00,2021-12-01_03:00:00,F32,11,28467,29736,984,45,15,11,98,23,2,1075
Running,2021-12-01_03:00:00,2021-12-01_04:00:00,F32,11,28267,29551,1009,40,12,12,95,10,6,1109
Running,2021-12-01_04:00:00,2021-12-01_04:38:20,F32,11,17736,18426,534,20,6,12,57,13,4,578
Bypassing,2021-12-01_04:38:20,2021-12-01_04:38:22,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:38:22,2021-12-01_04:38:25,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:38:25,2021-12-01_04:38:39,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:38:39,2021-12-01_04:38:42,F32,11,257,430,6,0,0,0,131,34,0,8
Bypassing,2021-12-01_04:38:42,2021-12-01_04:39:01,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:39:01,2021-12-01_04:39:04,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:39:04,2021-12-01_04:39:12,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:39:12,2021-12-01_04:39:16,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:39:16,2021-12-01_04:39:20,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:39:20,2021-12-01_04:39:23,F32,11,0,30,0,0,0,0,5,25,0,0
Bypassing,2021-12-01_04:39:23,2021-12-01_04:39:32,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:39:32,2021-12-01_04:39:36,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:39:36,2021-12-01_04:39:51,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:39:51,2021-12-01_04:39:55,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:39:55,2021-12-01_04:40:24,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-12-01_04:40:24,2021-12-01_04:40:29,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-12-01_04:40:29,2021-12-01_04:40:33,F32,11,0,0,0,0,0,0,0,0,0,0
