State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2021-11-24_14:12:33,2021-11-24_14:12:54,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_14:12:54,2021-11-24_15:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_15:00:00,2021-11-24_15:34:47,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_15:36:38,2021-11-24_15:37:02,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_15:37:02,2021-11-24_16:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_16:00:00,2021-11-24_17:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_17:00:00,2021-11-24_18:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_18:00:00,2021-11-24_18:57:55,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_18:57:55,2021-11-24_18:58:14,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_18:58:14,2021-11-24_18:58:37,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_18:58:37,2021-11-24_19:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_19:00:00,2021-11-24_19:28:14,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:28:14,2021-11-24_19:35:54,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2021-11-24_19:35:54,2021-11-24_19:39:59,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:39:59,2021-11-24_19:40:22,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:40:22,2021-11-24_19:40:35,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:40:35,2021-11-24_19:41:10,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:41:10,2021-11-24_19:41:18,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:41:18,2021-11-24_19:47:14,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:47:14,2021-11-24_19:47:18,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:47:18,2021-11-24_19:48:19,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:48:19,2021-11-24_19:48:25,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:48:25,2021-11-24_19:48:29,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:48:29,2021-11-24_19:48:32,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:48:32,2021-11-24_19:48:39,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:48:39,2021-11-24_19:48:43,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:48:43,2021-11-24_19:48:44,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:48:44,2021-11-24_19:48:47,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:48:47,2021-11-24_19:48:59,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:48:59,2021-11-24_19:49:04,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:49:04,2021-11-24_19:49:15,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:49:15,2021-11-24_19:49:19,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:49:19,2021-11-24_19:49:37,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:49:37,2021-11-24_19:49:41,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:49:41,2021-11-24_19:49:59,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:49:59,2021-11-24_19:50:03,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2021-11-24_19:50:03,2021-11-24_19:50:26,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2021-11-24_19:50:26,2021-11-24_19:50:29,F32,11,0,0,0,0,0,0,0,0,0,0
