State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-03-31_23:32:38,2022-04-01_00:00:00,F32,11,13534,13835,176,57,1,33,105,57,7,41
Running,2022-04-01_00:00:00,2022-04-01_01:00:00,F32,11,31220,31682,429,89,2,33,135,88,9,106
Running,2022-04-01_01:00:00,2022-04-01_02:00:00,F32,11,31237,31702,407,88,1,32,153,87,5,99
Running,2022-04-01_02:00:00,2022-04-01_03:00:00,F32,11,31240,31683,424,81,0,23,131,108,4,96
Running,2022-04-01_03:00:00,2022-04-01_04:00:00,F32,11,31266,31706,399,103,0,20,124,70,11,112
Running,2022-04-01_04:00:00,2022-04-01_05:00:00,F32,11,31236,31690,417,136,0,18,124,47,6,123
Running,2022-04-01_05:00:00,2022-04-01_06:00:00,F32,11,31161,31689,418,158,1,25,132,76,4,132
Running,2022-04-01_06:00:00,2022-04-01_07:00:00,F32,11,31141,31700,413,170,1,24,127,91,7,139
Running,2022-04-01_07:00:00,2022-04-01_08:00:00,F32,11,31209,31668,409,134,2,17,130,49,8,119
Running,2022-04-01_08:00:00,2022-04-01_09:00:00,F32,11,31094,31676,432,152,0,16,150,90,5,169
Running,2022-04-01_09:00:00,2022-04-01_10:00:00,F32,11,31133,31676,440,153,1,22,124,64,9,170
Running,2022-04-01_10:00:00,2022-04-01_11:00:00,F32,11,31119,31594,517,79,0,24,129,62,6,175
Running,2022-04-01_11:00:00,2022-04-01_12:00:00,F32,11,31129,31666,441,98,7,28,114,49,2,239
Running,2022-04-01_12:00:00,2022-04-01_13:00:00,F32,11,31137,31639,462,102,1,24,114,80,5,176
Running,2022-04-01_13:00:00,2022-04-01_14:00:00,F32,11,31237,31681,436,114,1,20,125,46,5,133
Running,2022-04-01_14:00:00,2022-04-01_15:00:00,F32,11,31272,31690,432,101,2,24,94,67,4,126
Running,2022-04-01_15:00:00,2022-04-01_16:00:00,F32,11,31305,31705,412,87,2,21,122,85,1,82
Running,2022-04-01_16:00:00,2022-04-01_17:00:00,F32,11,31337,31712,401,69,1,24,133,85,5,58
Running,2022-04-01_17:00:00,2022-04-01_18:00:00,F32,11,31391,31720,398,65,6,22,110,75,4,47
Running,2022-04-01_18:00:00,2022-04-01_19:00:00,F32,11,31374,31718,395,64,2,19,117,78,5,59
Running,2022-04-01_19:00:00,2022-04-01_20:00:00,F32,11,31312,31717,389,101,4,18,121,93,4,64
Running,2022-04-01_20:00:00,2022-04-01_21:00:00,F32,11,31287,31697,408,113,3,22,116,105,4,47
Running,2022-04-01_21:00:00,2022-04-01_22:00:00,F32,11,31317,31716,403,81,6,17,117,92,0,86
Running,2022-04-01_22:00:00,2022-04-01_23:00:00,F32,11,31332,31724,395,89,7,19,129,103,1,44
Running,2022-04-01_23:00:00,2022-04-02_00:00:00,F32,11,29668,30173,589,109,5,23,184,40,4,140
Running,2022-04-02_00:00:00,2022-04-02_01:00:00,F32,11,23597,24654,1497,142,12,40,489,18,4,352
Running,2022-04-02_01:00:00,2022-04-02_01:00:22,F32,11,6,10,2,0,0,0,4,0,0,0
Line Stopped,2022-04-02_01:00:22,2022-04-02_01:02:19,F32,11,10,17,5,1,0,1,5,0,0,0
Running,2022-04-02_01:02:19,2022-04-02_01:02:42,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2022-04-02_01:02:42,2022-04-02_01:52:17,F32,11,4,9,3,0,0,3,2,0,0,0
Running,2022-04-02_01:52:17,2022-04-02_01:52:44,F32,11,2,3,2,0,0,0,0,0,0,1
Line Stopped,2022-04-02_01:52:44,2022-04-02_01:54:32,F32,11,5,6,1,0,0,0,0,0,0,1
Running,2022-04-02_01:54:32,2022-04-02_01:55:35,F32,11,17,26,7,0,0,0,6,0,1,2
Line Stopped,2022-04-02_01:55:35,2022-04-02_02:00:00,F32,11,7,10,1,0,0,0,3,0,0,0
Line Stopped,2022-04-02_02:00:00,2022-04-02_02:22:48,F32,11,0,0,0,0,0,0,0,0,0,0
