State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-01-31_23:00:00,2022-02-01_00:00:00,F32,11,27349,27948,260,9,2,148,215,32,0,193
Running,2022-02-01_00:00:00,2022-02-01_01:00:00,F32,11,27372,27927,244,12,1,118,187,52,0,185
Running,2022-02-01_01:00:00,2022-02-01_02:00:00,F32,11,27389,27850,248,8,0,114,162,18,1,158
Running,2022-02-01_02:00:00,2022-02-01_03:00:00,F32,11,27464,27944,228,7,0,107,164,28,1,173
Running,2022-02-01_03:00:00,2022-02-01_04:00:00,F32,11,27472,27923,236,6,1,105,145,27,0,167
Running,2022-02-01_04:00:00,2022-02-01_05:00:00,F32,11,27484,27937,240,8,1,110,156,28,2,148
Running,2022-02-01_05:00:00,2022-02-01_06:00:00,F32,11,27532,27975,239,7,0,90,140,30,4,172
Running,2022-02-01_06:00:00,2022-02-01_07:00:00,F32,11,27436,27919,255,7,0,126,138,29,1,182
Running,2022-02-01_07:00:00,2022-02-01_08:00:00,F32,11,27542,27986,232,5,1,82,154,41,2,159
Running,2022-02-01_08:00:00,2022-02-01_09:00:00,F32,11,27427,27916,254,5,0,93,163,33,1,194
Running,2022-02-01_09:00:00,2022-02-01_10:00:00,F32,11,27483,27982,232,5,0,80,161,46,2,205
Running,2022-02-01_10:00:00,2022-02-01_11:00:00,F32,11,27350,27906,264,8,0,83,230,60,1,174
Running,2022-02-01_11:00:00,2022-02-01_12:00:00,F32,11,27251,27946,242,13,0,222,213,49,4,194
Running,2022-02-01_12:00:00,2022-02-01_13:00:00,F32,11,27381,27971,240,7,1,69,332,29,1,151
Running,2022-02-01_13:00:00,2022-02-01_14:00:00,F32,11,27386,27915,257,10,2,83,259,44,3,128
Running,2022-02-01_14:00:00,2022-02-01_15:00:00,F32,11,27448,27962,248,7,2,62,283,47,1,112
Running,2022-02-01_15:00:00,2022-02-01_16:00:00,F32,11,27494,27936,236,5,1,48,224,44,0,120
Running,2022-02-01_16:00:00,2022-02-01_17:00:00,F32,11,27493,27967,250,6,0,58,235,54,3,118
Running,2022-02-01_17:00:00,2022-02-01_18:00:00,F32,11,27443,27937,233,5,0,46,257,34,1,151
Running,2022-02-01_18:00:00,2022-02-01_19:00:00,F32,11,27405,27970,227,6,1,51,295,60,4,148
Running,2022-02-01_19:00:00,2022-02-01_20:00:00,F32,11,27367,27966,241,10,2,71,339,46,3,128
Running,2022-02-01_20:00:00,2022-02-01_21:00:00,F32,11,27327,27904,263,9,0,57,286,61,1,163
Running,2022-02-01_21:00:00,2022-02-01_22:00:00,F32,11,27362,27952,258,10,0,40,313,75,1,151
Running,2022-02-01_22:00:00,2022-02-01_23:00:00,F32,11,27179,27667,226,8,1,35,259,47,3,135
Running,2022-02-01_23:00:00,2022-02-02_00:00:00,F32,11,27553,27969,247,12,0,19,235,40,5,105
Running,2022-02-02_00:00:00,2022-02-02_01:00:00,F32,11,27530,27988,228,8,1,31,233,58,2,125
Running,2022-02-02_01:00:00,2022-02-02_02:00:00,F32,11,27520,27966,232,12,0,24,223,55,2,130
Running,2022-02-02_02:00:00,2022-02-02_03:00:00,F32,11,27475,27942,234,8,0,26,250,59,6,118
Running,2022-02-02_03:00:00,2022-02-02_04:00:00,F32,11,27487,27938,236,7,0,25,240,46,2,131
Running,2022-02-02_04:00:00,2022-02-02_05:00:00,F32,11,27557,27972,244,5,1,22,223,42,8,114
Running,2022-02-02_05:00:00,2022-02-02_06:00:00,F32,11,27559,27952,226,5,0,29,193,30,4,132
Running,2022-02-02_06:00:00,2022-02-02_07:00:00,F32,11,27548,27963,253,9,1,33,201,36,4,131
Running,2022-02-02_07:00:00,2022-02-02_08:00:00,F32,11,27506,27948,226,15,0,37,234,34,0,122
Running,2022-02-02_08:00:00,2022-02-02_09:00:00,F32,11,27522,27982,226,8,0,21,247,33,1,150
Running,2022-02-02_09:00:00,2022-02-02_10:00:00,F32,11,27487,27954,234,5,0,38,252,30,2,140
Running,2022-02-02_10:00:00,2022-02-02_11:00:00,F32,11,27252,27738,232,7,1,38,260,37,2,141
Running,2022-02-02_11:00:00,2022-02-02_12:00:00,F32,11,27480,27920,294,11,1,32,229,35,5,127
Running,2022-02-02_12:00:00,2022-02-02_12:37:36,F32,11,17055,17368,137,1,0,18,162,48,1,83
Bypassing,2022-02-02_12:37:36,2022-02-02_12:55:33,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-02-02_12:55:33,2022-02-02_13:00:00,F32,11,1801,1841,5,1,0,4,18,4,0,13
