State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2021-12-31_23:00:00,2022-01-01_00:00:00,F32,11,32831,33494,206,237,6,4,107,123,2,184
Running,2022-01-01_00:00:00,2022-01-01_01:00:00,F32,11,32863,33492,208,204,3,5,141,114,1,161
Running,2022-01-01_01:00:00,2022-01-01_02:00:00,F32,11,32899,33505,195,205,4,6,136,103,5,147
Running,2022-01-01_02:00:00,2022-01-01_03:00:00,F32,11,32840,33496,205,211,4,8,152,116,2,163
Running,2022-01-01_03:00:00,2022-01-01_04:00:00,F32,11,32835,33478,222,222,5,6,129,103,0,178
Running,2022-01-01_04:00:00,2022-01-01_05:00:00,F32,11,32755,33406,194,225,4,6,146,99,0,171
Running,2022-01-01_05:00:00,2022-01-01_06:00:00,F32,11,32790,33491,209,237,8,7,154,100,0,195
Running,2022-01-01_06:00:00,2022-01-01_07:00:00,F32,11,32723,33493,207,293,3,3,166,93,1,211
Running,2022-01-01_07:00:00,2022-01-01_08:00:00,F32,11,32772,33485,215,241,6,6,144,119,2,195
Running,2022-01-01_08:00:00,2022-01-01_09:00:00,F32,11,32735,33482,217,245,3,5,176,101,2,215
Running,2022-01-01_09:00:00,2022-01-01_10:00:00,F32,11,32659,33481,219,300,4,6,172,94,1,245
Running,2022-01-01_10:00:00,2022-01-01_11:00:00,F32,11,32735,33508,192,249,6,10,214,62,1,231
Running,2022-01-01_11:00:00,2022-01-01_12:00:00,F32,11,32815,33488,212,188,8,2,220,23,1,231
Running,2022-01-01_12:00:00,2022-01-01_13:00:00,F32,11,32760,33437,224,184,7,4,225,32,1,224
Running,2022-01-01_13:00:00,2022-01-01_14:00:00,F32,11,32787,33501,199,272,7,9,191,35,0,200
Running,2022-01-01_14:00:00,2022-01-01_15:00:00,F32,11,32791,33489,210,164,6,3,258,39,1,227
Running,2022-01-01_15:00:00,2022-01-01_16:00:00,F32,11,32873,33490,211,145,7,4,219,36,1,205
Running,2022-01-01_16:00:00,2022-01-01_17:00:00,F32,11,32843,33473,226,120,7,4,223,43,1,232
Running,2022-01-01_17:00:00,2022-01-01_18:00:00,F32,11,32812,33436,248,140,1,0,215,39,1,228
Running,2022-01-01_18:00:00,2022-01-01_19:00:00,F32,11,32800,33447,254,123,4,6,206,42,7,259
Running,2022-01-01_19:00:00,2022-01-01_20:00:00,F32,11,32846,33452,247,129,6,2,226,31,1,211
Running,2022-01-01_20:00:00,2022-01-01_21:00:00,F32,11,32784,33434,262,105,7,4,276,39,1,218
Running,2022-01-01_21:00:00,2022-01-01_22:00:00,F32,11,32755,33420,277,90,8,1,222,58,0,286
Running,2022-01-01_22:00:00,2022-01-01_23:00:00,F32,11,32838,33444,253,112,4,2,178,49,0,261
Running,2022-01-01_23:00:00,2022-01-02_00:00:00,F32,11,32872,33455,241,122,6,6,189,38,2,220
Running,2022-01-02_00:00:00,2022-01-02_01:00:00,F32,11,32837,33446,247,155,4,3,197,49,0,201
Running,2022-01-02_01:00:00,2022-01-02_02:00:00,F32,11,30944,32123,1576,215,6,6,192,44,0,716
Running,2022-01-02_02:00:00,2022-01-02_03:00:00,F32,11,24559,27503,6190,185,7,18,182,36,0,2516
Running,2022-01-02_03:00:00,2022-01-02_04:00:00,F32,11,24551,27470,6226,191,4,28,164,42,3,2487
Running,2022-01-02_04:00:00,2022-01-02_05:00:00,F32,11,22735,27239,6456,237,139,1376,165,27,0,2560
Running,2022-01-02_05:00:00,2022-01-02_06:00:00,F32,11,18467,26736,6953,210,700,4219,192,28,0,2920
Running,2022-01-02_06:00:00,2022-01-02_07:00:00,F32,11,17202,26790,6902,125,1066,5027,207,41,2,3120
Running,2022-01-02_07:00:00,2022-01-02_07:57:16,F32,11,11232,25003,5129,48,733,4218,3390,3502,2,1878
Line Stopped,2022-01-02_07:57:16,2022-01-02_08:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2022-01-02_08:00:00,2022-01-02_09:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2022-01-02_09:00:00,2022-01-02_10:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2022-01-02_10:00:00,2022-01-02_11:00:00,F32,11,0,0,0,0,0,0,0,0,0,0
Line Stopped,2022-01-02_11:00:00,2022-01-02_11:23:34,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-02_11:23:34,2022-01-02_12:00:00,F32,11,0,13162,425,0,0,0,6376,6785,0,1
Running,2022-01-02_12:00:00,2022-01-02_13:00:00,F32,11,80,26860,1344,0,0,2,13102,13667,0,9
Running,2022-01-02_13:00:00,2022-01-02_14:00:00,F32,11,6575,24314,3919,6,199,3117,6996,6943,4,474
Running,2022-01-02_14:00:00,2022-01-02_15:00:00,F32,11,13542,21983,6201,10,243,6596,361,64,1,1166
Running,2022-01-02_15:00:00,2022-01-02_16:00:00,F32,11,13895,22159,6069,8,128,6741,61,7,3,1316
Running,2022-01-02_16:00:00,2022-01-02_17:00:00,F32,11,13875,22529,5666,8,75,6791,70,25,6,1679
Running,2022-01-02_17:00:00,2022-01-02_18:00:00,F32,11,13090,21567,6674,7,57,6846,80,15,3,1469
Running,2022-01-02_18:00:00,2022-01-02_19:00:00,F32,11,20779,27197,1002,14,987,4909,120,24,4,360
Running,2022-01-02_19:00:00,2022-01-02_20:00:00,F32,11,20777,27165,1051,4,1385,4703,152,22,3,119
Running,2022-01-02_20:00:00,2022-01-02_21:00:00,F32,11,20737,27189,1035,9,1405,4679,173,27,0,159
Running,2022-01-02_21:00:00,2022-01-02_22:00:00,F32,11,20817,27033,1163,6,1339,4616,101,13,1,140
Running,2022-01-02_22:00:00,2022-01-02_23:00:00,F32,11,20821,27015,1185,9,1451,4471,107,11,2,143
Running,2022-01-02_23:00:00,2022-01-03_00:00:00,F32,11,20849,27033,1203,7,1297,4639,92,8,1,140
Running,2022-01-03_00:00:00,2022-01-03_01:00:00,F32,11,20860,26768,1448,8,1347,4332,81,6,2,132
Running,2022-01-03_01:00:00,2022-01-03_02:00:00,F32,11,20816,26728,1472,11,1373,4266,95,7,1,159
Running,2022-01-03_02:00:00,2022-01-03_03:00:00,F32,11,20759,22952,5280,18,496,1506,84,8,0,81
Running,2022-01-03_03:00:00,2022-01-03_04:00:00,F32,11,20858,20999,7190,14,6,2,74,12,7,26
Running,2022-01-03_04:00:00,2022-01-03_05:00:00,F32,11,20904,21035,7205,23,2,1,55,8,3,39
Running,2022-01-03_05:00:00,2022-01-03_06:00:00,F32,11,20868,20997,7202,20,3,2,58,8,5,33
Running,2022-01-03_06:00:00,2022-01-03_07:00:00,F32,11,20873,21001,7215,11,2,2,60,7,2,44
Running,2022-01-03_07:00:00,2022-01-03_08:00:00,F32,11,18188,18375,9824,18,3,17,63,13,2,71
Running,2022-01-03_08:00:00,2022-01-03_09:00:00,F32,11,27777,27994,206,25,2,5,112,18,4,51
Running,2022-01-03_09:00:00,2022-01-03_10:00:00,F32,11,27821,28052,188,30,4,3,114,13,7,60
Running,2022-01-03_10:00:00,2022-01-03_11:00:00,F32,11,27750,28019,182,46,4,2,119,27,4,67
Running,2022-01-03_11:00:00,2022-01-03_11:37:55,F32,11,17577,17709,131,8,2,1,69,11,3,38
Running,2022-01-03_11:38:17,2022-01-03_12:00:00,F32,11,10043,10128,56,5,1,1,41,8,1,28
Running,2022-01-03_12:00:00,2022-01-03_13:00:00,F32,11,27794,28023,196,24,4,0,109,28,5,59
Running,2022-01-03_13:00:00,2022-01-03_14:00:00,F32,11,27783,27992,188,25,1,1,103,19,4,56
Running,2022-01-03_14:00:00,2022-01-03_14:14:09,F32,11,6504,6559,35,4,0,0,33,4,0,14
Running,2022-01-03_14:15:04,2022-01-03_15:00:00,F32,11,20743,20912,132,18,3,1,91,14,3,39
Running,2022-01-03_15:00:00,2022-01-03_16:00:00,F32,11,27803,28001,199,25,3,1,84,13,2,70
Running,2022-01-03_16:00:00,2022-01-03_16:19:15,F32,11,9006,9086,53,8,1,2,40,4,0,25
Running,2022-01-03_16:24:50,2022-01-03_17:00:00,F32,11,17044,17175,124,12,2,1,60,4,1,51
Running,2022-01-03_17:00:00,2022-01-03_17:15:31,F32,11,7431,7464,37,5,0,0,15,3,0,10
Running,2022-01-03_17:15:47,2022-01-03_18:00:00,F32,11,21041,21187,156,17,5,2,53,9,2,58
Running,2022-01-03_18:00:00,2022-01-03_19:00:00,F32,11,28613,28811,189,19,1,1,86,13,2,76
Running,2022-01-03_19:00:00,2022-01-03_20:00:00,F32,11,28632,28819,182,23,4,1,60,17,1,81
Running,2022-01-03_20:00:00,2022-01-03_21:00:00,F32,11,28602,28768,191,22,1,2,54,8,5,74
Running,2022-01-03_21:00:00,2022-01-03_22:00:00,F32,11,23346,28810,191,180,10,0,60,5116,2,96
Running,2022-01-03_22:00:00,2022-01-03_23:00:00,F32,11,28531,28808,192,117,2,1,74,8,0,75
Running,2022-01-03_23:00:00,2022-01-04_00:00:00,F32,11,28577,28802,197,39,3,1,72,23,2,85
Running,2022-01-04_00:00:00,2022-01-04_01:00:00,F32,11,28604,28804,197,35,2,0,66,16,0,81
Running,2022-01-04_01:00:00,2022-01-04_02:00:00,F32,11,28590,28803,196,29,2,0,85,11,0,86
Running,2022-01-04_02:00:00,2022-01-04_03:00:00,F32,11,28615,28815,186,20,0,2,80,19,4,75
Running,2022-01-04_03:00:00,2022-01-04_04:00:00,F32,11,28604,28804,196,36,4,2,58,34,3,63
Running,2022-01-04_04:00:00,2022-01-04_05:00:00,F32,11,28599,28800,199,18,5,1,65,22,0,90
Running,2022-01-04_05:00:00,2022-01-04_06:00:00,F32,11,28593,28806,195,17,3,1,82,24,3,83
Running,2022-01-04_06:00:00,2022-01-04_07:00:00,F32,11,28579,28818,181,22,2,1,99,29,8,78
Running,2022-01-04_07:00:00,2022-01-04_08:00:00,F32,11,28541,28792,188,29,2,2,97,23,4,94
Running,2022-01-04_08:00:00,2022-01-04_09:00:00,F32,11,28577,28817,199,9,0,0,96,31,8,96
Running,2022-01-04_09:00:00,2022-01-04_10:00:00,F32,11,27782,28033,204,10,3,2,102,37,5,92
Running,2022-01-04_10:00:00,2022-01-04_11:00:00,F32,11,27774,27990,209,13,5,3,94,33,2,66
Running,2022-01-04_11:00:00,2022-01-04_11:34:40,F32,11,7280,7347,53,3,0,0,37,4,0,23
No PLC Connection,2022-01-04_11:34:40,2022-01-04_11:35:00,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:00,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:01,2022-01-04_11:35:01,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:01,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:02,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:02,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:02,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:02,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:02,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:02,2022-01-04_11:35:02,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:02,2022-01-04_11:35:03,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:03,2022-01-04_11:35:03,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:03,2022-01-04_11:35:03,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:03,2022-01-04_11:35:03,F32,11,0,0,0,0,0,0,0,0,0,0
No PLC Connection,2022-01-04_11:35:03,2022-01-04_11:35:03,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-01-04_11:35:03,2022-01-04_11:35:04,F32,11,0,0,0,0,0,0,0,0,0,0
