State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-04-30_23:00:00,2022-05-01_00:00:00,F32,11,28473,28896,87,175,5,3,162,27,4,47
Running,2022-05-01_00:00:00,2022-05-01_01:00:00,F32,11,28398,28870,107,201,5,3,184,33,4,42
Running,2022-05-01_01:00:00,2022-05-01_02:00:00,F32,11,28219,28648,95,168,7,3,170,36,4,41
Running,2022-05-01_02:00:00,2022-05-01_03:00:00,F32,11,28431,28881,91,186,5,3,177,20,1,58
Running,2022-05-01_03:00:00,2022-05-01_04:00:00,F32,11,28483,28889,91,174,5,9,133,40,0,45
Running,2022-05-01_04:00:00,2022-05-01_05:00:00,F32,11,28338,28720,92,151,6,4,147,28,1,45
Running,2022-05-01_05:00:00,2022-05-01_06:00:00,F32,11,28370,28804,98,167,6,5,166,28,3,59
Running,2022-05-01_06:00:00,2022-05-01_07:00:00,F32,11,28433,28882,95,201,6,1,170,30,3,38
Running,2022-05-01_07:00:00,2022-05-01_08:00:00,F32,11,28429,28888,88,175,6,7,171,35,3,62
Running,2022-05-01_08:00:00,2022-05-01_09:00:00,F32,11,28398,28832,93,183,11,4,127,39,3,67
Running,2022-05-01_09:00:00,2022-05-01_10:00:00,F32,11,28341,28862,101,256,5,2,149,44,0,65
Running,2022-05-01_10:00:00,2022-05-01_11:00:00,F32,11,28466,28874,95,180,7,5,107,49,6,54
Running,2022-05-01_11:00:00,2022-05-01_12:00:00,F32,11,28501,28886,97,187,7,2,90,39,1,59
Running,2022-05-01_12:00:00,2022-05-01_13:00:00,F32,11,28576,28893,96,116,7,3,87,41,4,59
Running,2022-05-01_13:00:00,2022-05-01_14:00:00,F32,11,28610,28893,95,98,5,2,76,48,3,51
Running,2022-05-01_14:00:00,2022-05-01_15:00:00,F32,11,28626,28891,97,74,6,3,85,50,2,45
Running,2022-05-01_15:00:00,2022-05-01_16:00:00,F32,11,28652,28889,94,71,3,6,83,33,1,40
Running,2022-05-01_16:00:00,2022-05-01_17:00:00,F32,11,28637,28903,87,89,4,1,84,45,2,41
Running,2022-05-01_17:00:00,2022-05-01_18:00:00,F32,11,28593,28897,90,86,3,7,113,49,1,45
Running,2022-05-01_18:00:00,2022-05-01_19:00:00,F32,11,28649,28898,89,64,1,3,86,43,3,49
Running,2022-05-01_19:00:00,2022-05-01_20:00:00,F32,11,28685,28895,90,44,4,4,79,43,2,34
Running,2022-05-01_20:00:00,2022-05-01_21:00:00,F32,11,28609,28893,82,97,3,2,91,39,4,48
Running,2022-05-01_21:00:00,2022-05-01_22:00:00,F32,11,28601,28887,93,86,3,7,96,39,4,51
Running,2022-05-01_22:00:00,2022-05-01_23:00:00,F32,11,28623,28887,90,71,6,2,90,55,4,36
Running,2022-05-01_23:00:00,2022-05-02_00:00:00,F32,11,28597,28893,91,62,7,2,112,45,3,65
Running,2022-05-02_00:00:00,2022-05-02_01:00:00,F32,11,28607,28887,97,65,5,1,115,49,3,42
Running,2022-05-02_01:00:00,2022-05-02_02:00:00,F32,11,28598,28889,99,71,2,1,114,61,4,38
Running,2022-05-02_02:00:00,2022-05-02_03:00:00,F32,11,28494,28890,94,85,12,2,154,55,8,80
Running,2022-05-02_03:00:00,2022-05-02_04:00:00,F32,11,28524,28881,101,79,13,5,123,53,10,74
Running,2022-05-02_04:00:00,2022-05-02_05:00:00,F32,11,28544,28885,99,83,5,2,127,57,3,64
Running,2022-05-02_05:00:00,2022-05-02_06:00:00,F32,11,28599,28894,86,75,2,1,120,49,0,48
Running,2022-05-02_06:00:00,2022-05-02_07:00:00,F32,11,28589,28883,99,73,2,4,117,50,4,44
Running,2022-05-02_07:00:00,2022-05-02_08:00:00,F32,11,28515,28891,91,109,6,2,141,44,8,66
Running,2022-05-02_08:00:00,2022-05-02_09:00:00,F32,11,28581,28894,82,94,6,2,117,48,3,43
Running,2022-05-02_09:00:00,2022-05-02_10:00:00,F32,11,28537,28879,99,78,6,4,127,58,1,68
Running,2022-05-02_10:00:00,2022-05-02_11:00:00,F32,11,28575,28886,92,67,8,5,119,51,1,60
Running,2022-05-02_11:00:00,2022-05-02_12:00:00,F32,11,28545,28887,97,87,10,4,117,57,2,65
Running,2022-05-02_12:00:00,2022-05-02_13:00:00,F32,11,28580,28883,105,73,8,9,135,31,4,43
Running,2022-05-02_13:00:00,2022-05-02_14:00:00,F32,11,28647,28892,98,60,2,4,117,29,6,27
Running,2022-05-02_14:00:00,2022-05-02_15:00:00,F32,11,28617,28888,94,61,4,6,123,34,6,37
Running,2022-05-02_15:00:00,2022-05-02_16:00:00,F32,11,28646,28898,89,53,1,5,121,36,4,32
Running,2022-05-02_16:00:00,2022-05-02_17:00:00,F32,11,28691,28901,89,55,1,2,94,21,7,30
Running,2022-05-02_17:00:00,2022-05-02_18:00:00,F32,11,28704,28904,83,53,5,2,82,23,5,30
Running,2022-05-02_18:00:00,2022-05-02_19:00:00,F32,11,28645,28895,93,61,2,2,125,29,1,30
Running,2022-05-02_19:00:00,2022-05-02_20:00:00,F32,11,28663,28894,93,53,4,4,92,34,7,37
Running,2022-05-02_20:00:00,2022-05-02_21:00:00,F32,11,28573,28887,96,87,7,3,126,49,2,40
Running,2022-05-02_21:00:00,2022-05-02_22:00:00,F32,11,28603,28889,91,85,3,6,128,30,1,33
Running,2022-05-02_22:00:00,2022-05-02_23:00:00,F32,11,28653,28895,88,72,2,1,112,30,3,22
Running,2022-05-02_23:00:00,2022-05-03_00:00:00,F32,11,28580,28891,88,76,6,2,140,32,3,52
Running,2022-05-03_00:00:00,2022-05-03_01:00:00,F32,11,28537,28893,92,84,13,0,162,36,4,57
Running,2022-05-03_01:00:00,2022-05-03_02:00:00,F32,11,28539,28896,92,87,5,4,171,48,2,40
Running,2022-05-03_02:00:00,2022-05-03_03:00:00,F32,11,28492,28880,100,67,1,7,226,42,4,41
Running,2022-05-03_03:00:00,2022-05-03_04:00:00,F32,11,28488,28870,103,69,7,5,196,54,2,49
Running,2022-05-03_04:00:00,2022-05-03_05:00:00,F32,11,28559,28880,99,83,3,1,168,32,4,30
