Start Time,End Time,Factory,Line,Side,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2021-11-24_15:36:38,2021-11-25_00:30:00,F32,11,LI,77,84,3,0,0,0,2,5,0,0
2021-11-24_15:36:38,2021-11-25_00:30:00,F32,11,RI,4,122,52,0,1,2,46,59,0,10
2021-11-24_15:36:38,2021-11-25_00:30:00,F32,11,LO,76,84,3,0,0,0,3,5,0,0
2021-11-24_15:36:38,2021-11-25_00:30:00,F32,11,RO,42,84,0,0,0,0,37,5,0,0
2021-11-25_00:30:00,2021-11-25_01:00:00,F32,11,LI,2,2,0,0,0,0,0,0,0,0
2021-11-25_00:30:00,2021-11-25_01:00:00,F32,11,RI,0,89,24,0,0,0,26,62,0,1
2021-11-25_00:30:00,2021-11-25_01:00:00,F32,11,LO,2,2,0,0,0,0,0,0,0,0
2021-11-25_00:30:00,2021-11-25_01:00:00,F32,11,RO,0,0,0,0,0,0,0,0,0,0
2021-11-25_01:00:00,2021-11-25_01:15:00,F32,11,LI,1808,1833,30,2,0,0,17,0,0,6
2021-11-25_01:00:00,2021-11-25_01:15:00,F32,11,RI,14,174,83,1,8,6,74,56,0,15
2021-11-25_01:00:00,2021-11-25_01:15:00,F32,11,LO,1592,1834,28,3,0,1,238,0,0,0
2021-11-25_01:00:00,2021-11-25_01:15:00,F32,11,RO,138,172,3,0,0,0,29,5,0,0
2021-11-25_01:15:00,2021-11-25_01:30:00,F32,11,LI,1815,1835,25,4,0,0,11,2,1,2
2021-11-25_01:15:00,2021-11-25_01:30:00,F32,11,RI,0,57,10,0,0,0,12,45,0,0
2021-11-25_01:15:00,2021-11-25_01:30:00,F32,11,LO,1819,1836,24,0,0,0,15,2,0,0
2021-11-25_01:15:00,2021-11-25_01:30:00,F32,11,RO,0,0,0,0,0,0,0,0,0,0
2021-11-25_01:30:00,2021-11-25_01:45:00,F32,11,LI,1809,1831,31,5,0,0,7,4,0,6
2021-11-25_01:30:00,2021-11-25_01:45:00,F32,11,RI,0,93,19,0,0,0,26,64,0,3
2021-11-25_01:30:00,2021-11-25_01:45:00,F32,11,LO,1636,1834,29,1,0,0,195,2,0,0
2021-11-25_01:30:00,2021-11-25_01:45:00,F32,11,RO,0,17,0,0,0,0,6,11,0,0
2021-11-25_01:45:00,2021-11-25_02:00:00,F32,11,LI,1820,1835,25,3,0,0,8,1,0,3
2021-11-25_01:45:00,2021-11-25_02:00:00,F32,11,RI,0,72,6,0,0,0,16,56,0,0
2021-11-25_01:45:00,2021-11-25_02:00:00,F32,11,LO,1817,1835,25,0,0,0,17,1,0,0
2021-11-25_01:45:00,2021-11-25_02:00:00,F32,11,RO,0,0,0,0,0,0,0,0,0,0
2021-11-25_02:00:00,2021-11-25_02:15:00,F32,11,LI,1826,1834,29,2,0,0,3,0,0,3
2021-11-25_02:00:00,2021-11-25_02:15:00,F32,11,RI,34,152,32,3,10,1,36,60,0,8
2021-11-25_02:00:00,2021-11-25_02:15:00,F32,11,LO,1776,1834,28,1,0,0,57,0,0,0
2021-11-25_02:00:00,2021-11-25_02:15:00,F32,11,RO,91,98,1,0,0,0,2,5,0,0
2021-11-25_02:15:00,2021-11-25_02:30:00,F32,11,LI,1763,1766,27,0,0,1,1,0,0,1
2021-11-25_02:15:00,2021-11-25_02:30:00,F32,11,RI,0,60,12,0,0,0,13,47,0,0
2021-11-25_02:15:00,2021-11-25_02:30:00,F32,11,LO,1750,1769,25,0,0,0,17,2,0,0
2021-11-25_02:15:00,2021-11-25_02:30:00,F32,11,RO,0,0,0,0,0,0,0,0,0,0
2021-11-25_02:30:00,2021-11-25_02:45:00,F32,11,LI,1828,1835,28,1,0,0,2,1,0,3
2021-11-25_02:30:00,2021-11-25_02:45:00,F32,11,RI,708,1507,229,26,25,9,628,4,0,107
2021-11-25_02:30:00,2021-11-25_02:45:00,F32,11,LO,1790,1835,28,3,0,0,41,1,0,0
2021-11-25_02:30:00,2021-11-25_02:45:00,F32,11,RO,1656,1697,29,1,0,0,36,1,0,3
2021-11-25_02:45:00,2021-11-25_03:00:00,F32,11,LI,1825,1834,26,1,0,1,3,1,1,2
2021-11-25_02:45:00,2021-11-25_03:00:00,F32,11,RI,865,1618,242,22,17,17,591,0,0,106
2021-11-25_02:45:00,2021-11-25_03:00:00,F32,11,LO,1810,1835,25,1,0,1,15,8,0,0
2021-11-25_02:45:00,2021-11-25_03:00:00,F32,11,RO,1800,1823,37,0,0,0,22,1,0,0
2021-11-25_03:00:00,2021-11-25_03:15:00,F32,11,LI,1823,1836,27,1,0,0,6,1,0,5
2021-11-25_03:00:00,2021-11-25_03:15:00,F32,11,RI,744,1588,275,34,32,12,629,6,0,131
2021-11-25_03:00:00,2021-11-25_03:15:00,F32,11,LO,1797,1835,27,1,0,0,36,1,0,0
2021-11-25_03:00:00,2021-11-25_03:15:00,F32,11,RO,1806,1830,32,0,0,0,22,1,0,1
