Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2021-11-24_15:36:38,2021-11-25_00:00:00,F32,11,206,1157,97,1,0,0,209,733,0,8
2021-11-25_18:22:49,2021-11-26_00:00:00,F32,11,140075,141949,2358,381,40,13,920,259,26,235
2021-11-30_17:39:07,2021-12-01_00:00:00,F32,11,189205,194829,4119,433,114,151,809,132,39,3946
2021-12-01_13:47:38,2021-12-02_00:00:00,F32,11,300447,307404,4485,346,122,262,2023,437,62,3705
2021-12-02_09:58:18,2021-12-03_00:00:00,F32,11,420064,426317,6009,794,365,24,726,1868,123,2353
2021-12-23_16:20:01,2021-12-24_00:00:00,F32,11,248531,250750,1529,119,14,12,1317,242,19,496
2021-12-24_00:00:00,2021-12-25_00:00:00,F32,11,767295,775775,5760,545,50,56,3840,1009,33,2947
2021-12-30_19:05:24,2021-12-31_00:00:00,F32,11,156687,160556,1028,864,33,7,660,230,13,2062
2021-12-31_00:00:00,2022-01-01_00:00:00,F32,11,780021,797033,5026,3650,149,65,3551,1832,46,7719
2022-01-01_00:00:00,2022-01-02_00:00:00,F32,11,787182,803283,5347,4526,128,115,4578,1608,32,5114
2022-01-02_00:00:00,2022-01-03_00:00:00,F32,11,368364,541516,76616,1454,11225,73005,32480,31380,35,23573
2022-01-03_17:15:47,2022-01-04_00:00:00,F32,11,187342,194005,1298,417,26,8,459,5194,14,545
2022-01-04_00:00:00,2022-01-05_00:00:00,F32,11,664787,670223,4754,444,61,42,2697,490,88,1614
2022-01-05_18:24:27,2022-01-06_00:00:00,F32,11,155285,156649,1060,113,1,6,779,121,18,326
2022-01-06_18:00:46,2022-01-07_00:00:00,F32,11,196119,197564,1440,184,3,5,504,105,41,603
2022-01-07_09:20:52,2022-01-08_00:00:00,F32,11,483748,489507,3899,967,37,26,1990,425,109,2205
2022-01-08_00:00:00,2022-01-09_00:00:00,F32,11,786259,796573,6707,2219,50,75,3730,1091,118,3031
2022-01-09_00:00:00,2022-01-10_00:00:00,F32,11,788340,800858,7309,455,36,69,7194,1878,196,2690
2022-01-10_15:10:56,2022-01-11_00:00:00,F32,11,291144,294614,2484,341,7,22,1934,379,104,683
