Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2021-11-24_14:12:33,2021-11-24_15:34:47,F32,11,0,0,0,0,0,0,0,0,0,0
2021-11-24_15:36:40,2021-11-25_09:39:27,F32,11,201837,226393,16893,2565,3087,1565,11540,1695,12,4092
2021-11-25_18:22:50,2021-11-26_09:40:43,F32,11,433731,440054,7454,827,83,55,3688,597,110,963
2021-11-26_09:42:27,2021-11-26_09:55:47,F32,11,6757,6837,123,7,1,0,52,4,3,13
2021-11-26_09:56:48,2021-11-26_10:12:28,F32,11,7941,8028,131,4,1,1,34,8,1,38
2021-11-30_15:23:39,2021-11-30_15:38:30,F32,11,7495,7606,114,6,0,2,47,8,1,47
2021-11-30_15:38:50,2021-11-30_15:42:01,F32,11,1586,1620,19,2,1,0,12,1,0,18
2021-11-30_15:44:35,2021-11-30_15:45:53,F32,11,629,636,5,0,0,0,4,0,0,3
2021-11-30_15:46:09,2021-11-30_16:22:19,F32,11,18166,18493,269,12,4,14,178,17,6,96
2021-11-30_16:22:58,2021-11-30_16:24:36,F32,11,825,833,6,0,0,1,3,2,0,2
2021-11-30_16:24:56,2021-11-30_16:33:14,F32,11,4230,4280,41,7,0,1,23,9,0,10
2021-11-30_16:44:40,2021-11-30_17:16:13,F32,11,15513,16075,366,28,2,16,182,7,0,327
2021-11-30_17:17:03,2021-11-30_17:36:20,F32,11,9163,9590,449,12,0,7,50,5,2,351
2021-11-30_17:36:55,2021-11-30_17:38:14,F32,11,485,490,19,0,0,0,1,0,0,4
2021-11-30_17:39:09,2021-12-01_09:04:30,F32,11,444039,461485,12197,792,257,301,2403,678,82,12933
2021-12-01_09:10:14,2021-12-01_09:11:45,F32,11,666,710,50,1,0,1,2,1,1,38
2021-12-01_09:32:40,2021-12-01_10:26:26,F32,11,26005,26687,541,38,12,12,145,48,6,421
2021-12-01_13:47:39,2021-12-02_08:42:00,F32,11,555880,569052,8740,727,240,457,3458,596,117,7577
2021-12-02_09:58:19,2021-12-03_16:12:19,F32,11,935298,954045,16794,2687,731,128,2359,4263,206,8373
